ORDER_NUMBER,COMMUNITY_ID,SUPPLIER_ID,SUPPLIER_TYPE,PRODUCT_CODE,PRODUCT_TYPE,LOCALISED_SUBTOTAL
VGL44516,40,1664,REGISTERED,visa99951,RETROFIT_RELEASE_ORDER,142.08
VGL44517,40,1664,REGISTERED,visa99950,RETROFIT_RELEASE_ORDER,35.5
VGL44518,40,1664,REGISTERED,visa99949,RETROFIT_RELEASE_ORDER,142.08
VGL44519,40,L236,LITE,visa99828,RETROFIT_RELEASE_ORDER,580
PU121190,41,L22127,LITE,CSU272681,MANUAL,2000
PU121190,41,L22127,LITE,CSU272682,MANUAL,2000
PU121190,41,L22127,LITE,CSU272683,MANUAL,2000
PU121190,41,L22127,LITE,CSU272684,MANUAL,2000
PU121190,41,L22127,LITE,CSU272685,MANUAL,2000
PU121190,41,L22127,LITE,CSU272686,MANUAL,500
PU121191,41,L10344,LITE,CSU272673,MANUAL,10393.09
PU121191,41,L10344,LITE,CSU272677,MANUAL,6625
226684,113,L15972,LITE,UTAS254508,RETROFIT_RELEASE_ORDER,992.76
226685,113,L15031,LITE,UTAS253199,MANUAL,1542.18
226685,113,L15031,LITE,UTAS253200,MANUAL,84.88
226686,113,1805,REGISTERED,UTAS255630,MANUAL,2863.54
226687,113,4197,PREMIUM,5363-4444,RETROFIT_RELEASE_ORDER,70.82
CDC18000,2170,17,PREMIUM,ULT0131,COMMUNITY,24.13
CDC18000,2170,17,PREMIUM,RG3330,COMMUNITY,311.65
CDC18000,2170,17,PREMIUM,PRE3562,COMMUNITY,125.7
CDC18001,2170,2782,PREMIUM,DPA Hydrogen Peroxide 1% 1l,COMMUNITY,100
CDC18001,2170,2782,PREMIUM,DV Surgical Masks,COMMUNITY,560
CDC18001,2170,2782,PREMIUM,AUS508,COMMUNITY,181.5
CDC18001,2170,2782,PREMIUM,NTFLOOR,COMMUNITY,11
CDC18001,2170,2782,PREMIUM,DV Ziagel,COMMUNITY,288
CDC18001,2170,2782,PREMIUM,TRI-Steri-Pouch-90x165,COMMUNITY,12
CDC18001,2170,2782,PREMIUM,TRI-Steri-Pouch-70x260,COMMUNITY,39
CDC18001,2170,2782,PREMIUM,TRI-Steri-Pouch-90x260,COMMUNITY,43.2
CDC18001,2170,2782,PREMIUM,MH/CDC,COMMUNITY,144
CDC18001,2170,2782,PREMIUM,DPA-Toothbrush,COMMUNITY,99
CDC18001,2170,2782,PREMIUM,DPA-Hand-Sanitiser,COMMUNITY,21
CDC18001,2170,2782,PREMIUM,DPO-6209,COMMUNITY,23
CDC18002,2170,14,PREMIUM,CG-1223072,ROUNDTRIP,53.7
CDC18002,2170,14,PREMIUM,CG-AU00556A,ROUNDTRIP,123.21
CDC18002,2170,14,PREMIUM,CG-1224347,ROUNDTRIP,58.17
CDC18002,2170,14,PREMIUM,TM-2382SF,ROUNDTRIP,62.59
CDC18002,2170,14,PREMIUM,GC-TMOUSSESTRAW,ROUNDTRIP,222.94
CDC18002,2170,14,PREMIUM,SV-S100,ROUNDTRIP,61.47
CDC18002,2170,14,PREMIUM,SP-4090-100,ROUNDTRIP,304.38
CDC18002,2170,14,PREMIUM,KY-282272,ROUNDTRIP,662.05
CDC18002,2170,14,PREMIUM,CG-1537003,ROUNDTRIP,26.22
CDC18002,2170,14,PREMIUM,CG-61009497,ROUNDTRIP,30.32
CDC18002,2170,14,PREMIUM,SW-HS25,ROUNDTRIP,214.88
CDC18002,2170,14,PREMIUM,CG-TH02819A,ROUNDTRIP,54.99
CDC18002,2170,14,PREMIUM,HS-5701396,ROUNDTRIP,231.6
CDC18002,2170,14,PREMIUM,HAW-1790,ROUNDTRIP,407.95
CDC18002,2170,14,PREMIUM,W-UC30,ROUNDTRIP,79.22
226688,113,582,REGISTERED,Garry Kenneth Worsley,RETROFIT_RELEASE_ORDER,409.09
226689,113,582,REGISTERED,-,RETROFIT_RELEASE_ORDER,409.09
226690,113,582,REGISTERED,-,RETROFIT_RELEASE_ORDER,409.09
226691,113,582,REGISTERED,Aneita Mary Denham,RETROFIT_RELEASE_ORDER,350
226692,113,582,REGISTERED,Betty Maureen Bates,RETROFIT_RELEASE_ORDER,350
226693,113,582,REGISTERED,Frederick Alfred Briggs,RETROFIT_RELEASE_ORDER,350
121691,11,22,PREMIUM,PIPRP902A/YE,COMMUNITY,62.1
121691,11,22,PREMIUM,PIPRP902A/BL,COMMUNITY,31.05
226694,113,582,REGISTERED,Eric Charles Crosswell,RETROFIT_RELEASE_ORDER,350
226695,113,582,REGISTERED,-,RETROFIT_RELEASE_ORDER,350
226696,113,582,REGISTERED,-,RETROFIT_RELEASE_ORDER,350
226697,113,582,REGISTERED,-,RETROFIT_RELEASE_ORDER,350
226698,113,1766,REGISTERED,220552,MANUAL,600
368496,2,3244,PREMIUM,62022,MANUAL,15
368496,2,3244,PREMIUM,62023,MANUAL,5
368496,2,3244,PREMIUM,62024,MANUAL,81
226699,113,1766,REGISTERED,220553,MANUAL,400
121692,11,46,PREMIUM,DL0603,COMMUNITY,19.55
121692,11,46,PREMIUM,KE-06-0104,COMMUNITY,29.9
121693,11,3,PREMIUM,18917973,COMMUNITY,91.08
226700,113,1766,REGISTERED,220554,MANUAL,400
121694,11,16,PREMIUM,GMINT,COMMUNITY,45
121694,11,16,PREMIUM,HWTNTBLU,COMMUNITY,17.24
121694,11,16,PREMIUM,HWTNTR,COMMUNITY,17.24
121694,11,16,PREMIUM,HWTNTY,COMMUNITY,17.24
121694,11,16,PREMIUM,HWTNTG,COMMUNITY,17.24
121694,11,16,PREMIUM,HWTNTW,COMMUNITY,17.24
121694,11,16,PREMIUM,CA316B,COMMUNITY,120
121694,11,16,PREMIUM,DV1000,COMMUNITY,105
121694,11,16,PREMIUM,DSCMB-1-12-.001S,COMMUNITY,13.04
121694,11,16,PREMIUM,W9097,COMMUNITY,21.25
121694,11,16,PREMIUM,SM10101112,COMMUNITY,21.4
121694,11,16,PREMIUM,CEECON,COMMUNITY,57.79
121694,11,16,PREMIUM,MEBK-09,COMMUNITY,22.05
121694,11,16,PREMIUM,GTRAY/CLEANER,COMMUNITY,50.37
121694,11,16,PREMIUM,OB84856718,COMMUNITY,15.65
121694,11,16,PREMIUM,ADM02,COMMUNITY,9.24
121694,11,16,PREMIUM,LVSYG3,COMMUNITY,14.95
121694,11,16,PREMIUM,GHAW696,COMMUNITY,16.01
121694,11,16,PREMIUM,GHAW822/10,COMMUNITY,39.93
121694,11,16,PREMIUM,DVPP25,COMMUNITY,15.22
121694,11,16,PREMIUM,DVK2115,COMMUNITY,15.12
121694,11,16,PREMIUM,DVK2510,COMMUNITY,16
121694,11,16,PREMIUM,DVK2515,COMMUNITY,16
226701,113,1766,REGISTERED,220555,MANUAL,600
121695,11,14,PREMIUM,HS-5701319,COMMUNITY,73.1
121695,11,14,PREMIUM,HS-HPPP01,COMMUNITY,13.04
121695,11,14,PREMIUM,HS-HPPP02,COMMUNITY,15.55
121696,11,16,PREMIUM,3M12647,COMMUNITY,39.13
121696,11,16,PREMIUM,K33217,COMMUNITY,168.35
226702,113,1766,REGISTERED,220557,MANUAL,6300
226703,113,1766,REGISTERED,220547,MANUAL,250
PU121192,41,L5053,LITE,CSU273017,MANUAL,3924.52
PU121192,41,L5053,LITE,CSU273016,MANUAL,26090.52
226704,113,1766,REGISTERED,220559,MANUAL,400
PU121193,41,L18369,LITE,CSU273012,MANUAL,3850
CDC18003,2170,22,PREMIUM,i-COV802H,COMMUNITY,134.25
CDC18003,2170,22,PREMIUM,STORM-M,COMMUNITY,269.25
PU121194,41,448,REGISTERED,CSU273006,MANUAL,31.32
CDC18004,2170,3248,PREMIUM,OPPWF,COMMUNITY,18.55
CDC18004,2170,3248,PREMIUM,OPPT,COMMUNITY,15
CDC18004,2170,3248,PREMIUM,OPPBU,COMMUNITY,15
CDC18004,2170,3248,PREMIUM,RB0010,COMMUNITY,18
CDC18005,2170,35,PREMIUM,GLV-MED-SFTOY1175A-XSMALL,COMMUNITY,81
CDC18005,2170,35,PREMIUM,GLV-MED-SFTOY1175B-SMALL,COMMUNITY,324
CDC18005,2170,35,PREMIUM,SUT-LOOK-422B,COMMUNITY,174.46
CDC18006,2170,13,PREMIUM,6610310,COMMUNITY,264.96
CDC18006,2170,13,PREMIUM,B4659,COMMUNITY,164
CDC18006,2170,13,PREMIUM,4613,MANUAL,632.96
CDC18006,2170,13,PREMIUM,A0410219G0103,COMMUNITY,121.07
CDC18006,2170,13,PREMIUM,A0411225G0103,COMMUNITY,121.07
CDC18006,2170,13,PREMIUM,A041122510303,COMMUNITY,127.12
CDC18006,2170,13,PREMIUM,A041122510203,COMMUNITY,127.12
CDC18006,2170,13,PREMIUM,A0410225G0103,COMMUNITY,121.07
CDC18006,2170,13,PREMIUM,A0410225G0203,COMMUNITY,121.07
CDC18006,2170,13,PREMIUM,A0411225G0503,COMMUNITY,121.07
CDC18006,2170,13,PREMIUM,6176536,COMMUNITY,87
CDC18007,2170,15,PREMIUM,605330,COMMUNITY,368.18
CDC18007,2170,15,PREMIUM,605329,COMMUNITY,368.18
CDC18007,2170,15,PREMIUM,cdc3724,MANUAL,234.55
226705,113,1767,REGISTERED,UTAS255628,MANUAL,2580
CDC18008,2170,37,PREMIUM,.PKRP0040,COMMUNITY,39.12
CDC18008,2170,37,PREMIUM,PRE100G,COMMUNITY,49.52
CDC18008,2170,37,PREMIUM,.PK540,COMMUNITY,26
PU121195,41,L2273,LITE,CSU273032,MANUAL,8829
PU121195,41,L2273,LITE,CSU273034,MANUAL,2131
PU121195,41,L2273,LITE,CSU273036,MANUAL,300
PU121195,41,L2273,LITE,CSU273038,MANUAL,110
PU121195,41,L2273,LITE,CSU273040,MANUAL,1784
PU121195,41,L2273,LITE,CSU273042,MANUAL,165
PU121195,41,L2273,LITE,CSU273044,MANUAL,312.18
PU121195,41,L2273,LITE,CSU273046,MANUAL,279.2
226706,113,1840,REGISTERED,220545,MANUAL,400
226707,113,1889,REGISTERED,220361,MANUAL,19558
121697,11,21,PREMIUM,ADMT2,COMMUNITY,33.82
121698,11,3,PREMIUM,87033049,ROUNDTRIP,34.3
121698,11,3,PREMIUM,18879923,ROUNDTRIP,38.9
121698,11,3,PREMIUM,25099383,ROUNDTRIP,10.1
121698,11,3,PREMIUM,87010401,ROUNDTRIP,148.05
121698,11,3,PREMIUM,86621598,ROUNDTRIP,24
121698,11,3,PREMIUM,25124158,ROUNDTRIP,14.83
226708,113,1766,REGISTERED,220538,MANUAL,100
PU121196,41,14,PREMIUM,GC-FUJI7CAP,COMMUNITY,860.3
CDC18009,2170,16,PREMIUM,STTISSUES,COMMUNITY,120
CDC18009,2170,16,PREMIUM,SM10101112,COMMUNITY,96
CDC18009,2170,16,PREMIUM,OZ69015,COMMUNITY,45.88
CDC18009,2170,16,PREMIUM,UDYPAIL25,COMMUNITY,63.64
CDC18009,2170,16,PREMIUM,GMAD,COMMUNITY,720
CDC18009,2170,16,PREMIUM,DV2001,COMMUNITY,60
CDC18009,2170,16,PREMIUM,BR3789-24,COMMUNITY,272.73
CDC18009,2170,16,PREMIUM,KC2706,COMMUNITY,180
CDC18009,2170,16,PREMIUM,KC2705,COMMUNITY,60
CDC18009,2170,16,PREMIUM,CM060970,COMMUNITY,87.6
CDC18009,2170,16,PREMIUM,GGLEAM,COMMUNITY,200
CDC18009,2170,16,PREMIUM,ALCPA3,COMMUNITY,18.83
CDC18009,2170,16,PREMIUM,GMINT,COMMUNITY,180
CDC18009,2170,16,PREMIUM,3M6032A1,COMMUNITY,87.09
CDC18009,2170,16,PREMIUM,3M6032A3,COMMUNITY,87.09
CDC18009,2170,16,PREMIUM,3M3700T,COMMUNITY,35.02
CDC18009,2170,16,PREMIUM,1A2022,COMMUNITY,32.72
CDC18009,2170,16,PREMIUM,K31513,COMMUNITY,126.55
CDC18009,2170,16,PREMIUM,3M6021A2,COMMUNITY,339.9
CDC18009,2170,16,PREMIUM,3M6021A3,COMMUNITY,226.6
CDC18009,2170,16,PREMIUM,DSCMB-1-12-.001S,COMMUNITY,6.24
CDC18009,2170,16,PREMIUM,MUNTR61SS,COMMUNITY,1350
CDC18009,2170,16,PREMIUM,MUNTR61XS,COMMUNITY,450
CDC18009,2170,16,PREMIUM,HA721/4,COMMUNITY,62
CDC18009,2170,16,PREMIUM,TOK13110,COMMUNITY,140
CDC18009,2170,16,PREMIUM,TOK12913,COMMUNITY,124.82
CDC18009,2170,16,PREMIUM,TOK13112,COMMUNITY,70
CDC18010,2170,16,PREMIUM,UDIMPLR,COMMUNITY,10.87
CDC18010,2170,16,PREMIUM,UDIMPLL,COMMUNITY,10.87
CDC18010,2170,16,PREMIUM,UDIMP004,COMMUNITY,10.9
CDC18010,2170,16,PREMIUM,SH8881-444015,COMMUNITY,40
CDC18010,2170,16,PREMIUM,DV2001,COMMUNITY,45
CDC18010,2170,16,PREMIUM,STTISSUES,COMMUNITY,40
CDC18010,2170,16,PREMIUM,3M6032A3,COMMUNITY,174.17
CDC18010,2170,16,PREMIUM,3M3700T,COMMUNITY,17.51
CDC18010,2170,16,PREMIUM,3M6032A2,COMMUNITY,174.17
CDC18010,2170,16,PREMIUM,3M6021A2,COMMUNITY,566.5
CDC18010,2170,16,PREMIUM,3M6021A3,COMMUNITY,453.2
CDC18010,2170,16,PREMIUM,3M6021A1,COMMUNITY,453.2
CDC18010,2170,16,PREMIUM,DL1511,COMMUNITY,40.91
CDC18010,2170,16,PREMIUM,SDCORD000,COMMUNITY,36
CDC18010,2170,16,PREMIUM,SDCORD00,COMMUNITY,18
CDC18010,2170,16,PREMIUM,KC4440,COMMUNITY,212
CDC18010,2170,16,PREMIUM,UDSAL,COMMUNITY,50
CDC18010,2170,16,PREMIUM,UNASP12W,COMMUNITY,45
CDC18010,2170,16,PREMIUM,GMAD,COMMUNITY,240
CDC18010,2170,16,PREMIUM,DV2003,COMMUNITY,45
CDC18010,2170,16,PREMIUM,SH8881-471273,COMMUNITY,46.92
CDC18010,2170,16,PREMIUM,PEDRY/BLUE,COMMUNITY,80
CDC18010,2170,16,PREMIUM,PEDRY/GREEN,COMMUNITY,20
CDC18010,2170,16,PREMIUM,A6542,COMMUNITY,60
CDC18010,2170,16,PREMIUM,DL0611,COMMUNITY,21.09
CDC18010,2170,16,PREMIUM,W9711121,COMMUNITY,96
CDC18010,2170,16,PREMIUM,AIA2024,COMMUNITY,25
CDC18010,2170,16,PREMIUM,BAKC4735,COMMUNITY,63.64
CDC18010,2170,16,PREMIUM,3M2382C,COMMUNITY,121.54
CDC18010,2170,16,PREMIUM,DL6100,COMMUNITY,11
CDC18010,2170,16,PREMIUM,3M6021B1,COMMUNITY,226.6
CDC18010,2170,16,PREMIUM,DV50001,COMMUNITY,40
CDC18010,2170,16,PREMIUM,3M6021A4,COMMUNITY,113.3
CDC18010,2170,16,PREMIUM,3M6021A3.5,COMMUNITY,226.6
CDC18010,2170,16,PREMIUM,UST2000,COMMUNITY,40
CDC18010,2170,16,PREMIUM,OB82219841,COMMUNITY,19.1
121699,11,46,PREMIUM,IDS600-ASS,COMMUNITY,49.28
121699,11,46,PREMIUM,IDS602-ASS,COMMUNITY,36.96
121699,11,46,PREMIUM,IDS-N901BULK,COMMUNITY,54
121699,11,46,PREMIUM,IDSEETASST,COMMUNITY,59
121700,11,14,PREMIUM,TM-46956,COMMUNITY,184.96
121700,11,14,PREMIUM,KE-29676,COMMUNITY,41.83
PU121197,41,2118,PREMIUM,POWR1050,ROUNDTRIP,51.32
PU121197,41,2118,PREMIUM,POWR1070,ROUNDTRIP,115.76
