ORDER_NUMBER,COMMUNITY_ID,SUPPLIER_ID,SUPPLIER_TYPE,PRODUCT_CODE,PRODUCT_TYPE,LOCALISED_SUBTOTAL
230845,113,869,REGISTERED,-,RETROFIT_RELEASE_ORDER,950
230846,113,869,REGISTERED,-,RETROFIT_RELEASE_ORDER,186.36
CDC18242,2170,551,PREMIUM,972-2500,COMMUNITY,171
CDC18243,2170,3248,PREMIUM,KC6803,COMMUNITY,250.33
CDC18243,2170,3248,PREMIUM,KC6802,COMMUNITY,187.31
CDC18243,2170,3248,PREMIUM,M4456D,COMMUNITY,68
CDC18243,2170,3248,PREMIUM,SSE,COMMUNITY,29.12
CDC18243,2170,3248,PREMIUM,OPPBU,COMMUNITY,45
CDC18243,2170,3248,PREMIUM,RB0010,COMMUNITY,18
CDC18243,2170,3248,PREMIUM,SC91000,COMMUNITY,12.14
CDC18243,2170,3248,PREMIUM,DTS,COMMUNITY,36
CDC18243,2170,3248,PREMIUM,DTL,COMMUNITY,18
CDC18243,2170,3248,PREMIUM,DU-CDS110P6155,COMMUNITY,85
CDC18243,2170,3248,PREMIUM,UDT0685,COMMUNITY,83.08
CDC18243,2170,3248,PREMIUM,T1UU144,COMMUNITY,19.9
CDC18243,2170,3248,PREMIUM,VBAG50,COMMUNITY,21
CDC18244,2170,37,PREMIUM,M256310S,COMMUNITY,81.32
CDC18244,2170,37,PREMIUM,PKS006,COMMUNITY,21.42
CDC18244,2170,37,PREMIUM,PKS005,COMMUNITY,21.42
CDC18244,2170,37,PREMIUM,.PK040,COMMUNITY,26
CDC18244,2170,37,PREMIUM,.PK0040,COMMUNITY,26
CDC18244,2170,37,PREMIUM,.PK210,COMMUNITY,41.42
123300,11,14,PREMIUM,GC-EQUIAFFILA2,ROUNDTRIP,159.46
123300,11,14,PREMIUM,TM-71493,ROUNDTRIP,104.27
123300,11,14,PREMIUM,DU-CDS110P6155,ROUNDTRIP,221.97
123300,11,14,PREMIUM,KE-32651,ROUNDTRIP,108.04
123300,11,14,PREMIUM,CG-1223072,ROUNDTRIP,88.2
123300,11,14,PREMIUM,YD-053101,ROUNDTRIP,234.52
CDC18245,2170,2782,PREMIUM,DPA Hydrogen Peroxide 1% 1l,COMMUNITY,150
CDC18245,2170,2782,PREMIUM,WAIM-Isolation-Gown,COMMUNITY,55.5
CDC18245,2170,2782,PREMIUM,DV Surgical Masks,COMMUNITY,200
CDC18245,2170,2782,PREMIUM,DV Xylocaine Adhesive,COMMUNITY,126
